,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
46,7.142876227696736,0.04566065611453602,0.15504185358683267,0.005794339267567139,200,2,2,auto,,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}",-12.451996098623317,-12.63632711832535,-12.540306801336829,-12.54287667276183,0.07527476064593203,10
34,70.1401063601176,0.4084954578542556,1.409070650736491,0.017296792060741275,2000,5,2,auto,30,True,"{'n_estimators': 2000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': True}",-12.46436476384675,-12.643469950280675,-12.534117307910147,-12.547317340679191,0.07371271984630921,12
95,4.84479554494222,0.047141264899578116,0.32203125953674316,0.013661239301753413,400,2,2,sqrt,60,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': False}",-12.499277516199836,-12.65116992279733,-12.49172952667626,-12.547392321891143,0.07344651511517306,13
66,63.06332961718241,0.5443980188948462,1.2771896521250408,0.028079765930791856,1800,5,2,auto,,True,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}",-12.467010402576664,-12.64079298814322,-12.535677103124424,-12.547826831281435,0.0714647170859687,14
20,19.0927791595459,0.13998698673562174,1.2054678599039714,0.015885561777018685,1800,10,1,sqrt,50,False,"{'n_estimators': 1800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}",-12.515571034650284,-12.685659519378301,-12.525797596347426,-12.575676050125336,0.0778820401749753,15
90,6.195262908935547,0.07110667522761868,0.38892459869384766,0.015004261401816477,600,10,2,sqrt,60,False,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': False}",-12.524336935582426,-12.680026103827693,-12.565964985062822,-12.59010934149098,0.06581282416937319,16
5,16.197309573491413,0.04896764526245955,1.0291316509246826,0.007805441569988252,1600,10,2,sqrt,110,False,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': False}",-12.537125544860613,-12.683888649564404,-12.555407693490261,-12.592140629305092,0.06530356629238729,17
12,20.973320722579956,0.42360455431131466,1.3370788892110188,0.023937274966635988,2000,10,2,sqrt,50,False,"{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}",-12.537764782462874,-12.684938880567902,-12.557578162072057,-12.593427275034278,0.06521207947096228,18
43,2.0645715395609536,0.0140838817105351,0.13369599978129068,0.007625561131931551,200,10,2,sqrt,70,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",-12.534413034076309,-12.68165599496609,-12.564469681063994,-12.593512903368797,0.06352298247764106,19
14,2.081939935684204,0.01105486982707376,0.13752253850301108,0.0056879260208701175,200,10,2,sqrt,50,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}",-12.534413034076309,-12.68165599496609,-12.564469681063994,-12.593512903368797,0.06352298247764106,19
